journal,value
Asia-Pacific Journal of Cooperative Education,0
Asia-Pacific Journal of Financial Studies,0
"Asia-Pacific Journal of Health, Sport and Physical Education",0
Asia-Pacific Journal of Information Technology and Multimedia,0
Asia-Pacific Journal of Innovation in Hospitality and Tourism,0
Asia-Pacific Journal of Operational Research,1
Asia-Pacific Journal of Regional Science,0
Asia-Pacific Journal of Research in Early Childhood Education,0
Asia-Pacific Journal of Science and Technology,0
Asia-Pacific Journal of Teacher Education,0
Asia-Pacific Journal: Japan Focus,0
Asia-Pacific Language Variation,0
Asia-Pacific Population Journal,0
Asia-Pacific Review,0
Asia-Pacific Science Education,0
Asia-Pacific Social Science Review,0
Asiascape: Digital Asia,0
Asiatic,0
Aslib Journal of Information Management,0
ASME Journal of Heat and Mass Transfer,0
ASME Letters in Dynamic Systems and Control,0
ASN Neuro,0
Asparkia,0
Aspasia,0
Assembly,0
Assembly Automation,1
Assessing Writing,0
Assessment,0
Assessment and Evaluation in Higher Education,0
Assessment for Effective Intervention,0
"Assessment in Education: Principles, Policy and Practice",0
Assistive Technology Outcomes and Benefits,0
Assistive Technology Research Series,0
Association for Women in Mathematics Series,0
AStA Advances in Statistical Analysis,1
Asten Journal of Teacher Education,0
ASTIN Bulletin,0
Astragalo,0
Astrodynamics,0
Astronomy and Computing,0
Astronomy Education Review,0
Astrophysics and Space Science Proceedings,0
Astropolitics,0
Asymptotic Analysis,0
At the Interface: Probing the Boundaries,0
ATA Journal,0
ATA Journal of Legal Tax Research,0
At-Automatisierungstechnik,1
Atenea,0
Athena: Filosofijos Studijos,0
Athenaeum,0
Athens Journal of Education,0
Atiqot,0
Atlante Tematico di Topografia Antica,0
Atlantis,0
Atlantic Economic Journal,0
Atlantic Journal of Communication,0
Atlantic Studies : Global Currents,0
Atlantic World,0
AtoZ,0
Atrio,0
ATS Scholar,0
Attachment and Human Development,0
"Attention, Perception, and Psychophysics",0
"Atti della Accademia Nazionale dei Lincei, Classe di Scienze Fisiche, Matematiche e Naturali, Rendiconti Lincei Matematica e Applicazioni",0
Audiology and Neurotology,0
Auditing,0
Aufbereitungs-Technik/Mineral Processing,0
Augustinian Studies,0
Augustiniana,0
Aula Abierta,0
Aula Orientalis,0
AUMLA-Journal of the Australasian Universities Language and Literature Association,0
AUS,0
AusArt,0
AusIMM Bulletin,0
Austral Comunicacion,0
Austral: Brazilian Journal of Strategy and International Relations,0
"Australasian Accounting, Business and Finance Journal",0
Australasian Drama Studies,0
Australasian Historical Archaeology,0
Australasian Journal of Combinatorics,0
Australasian Journal of Construction Economics and Building,0
Australasian Journal of Disaster and Trauma Studies,0
Australasian Journal of Early Childhood,0
Australasian Journal of Educational Technology,0
Australasian Journal of Engineering Education,0
Australasian Journal of Environmental Management,0
Australasian Journal of Gifted Education,0
Australasian Journal of Information Systems,1
Australasian Journal of Organisational Psychology,0
Australasian Journal of Philosophy,0
Australasian Journal of Popular Culture,0
Australasian Journal of Regional Studies,0
Australasian Journal of Special and Inclusive Education,0
Australasian Journal of Special Education,0
Australasian Marketing Journal,0
Australasian Review of African Studies,0
Australasian Textiles and Fashion,0
Australian Aboriginal Studies,0
Australian Academic and Research Libraries,0
Australian Accounting Review,0
Australian and International Journal of Rural Education,0
Australian and New Zealand Journal of Art,0
Australian and New Zealand Journal of Criminology,0
Australian and New Zealand Journal of European Studies,0
Bilingual Research Journal,0
Bilingualism,0
BIO Integration,0
Bioactive Materials,0
Bio-Algorithms and Med-Systems,1
Bioarchaeology and Social Theory,0
Bioarchaeology International,0
Bioarchaeology of the Near East,0
Bio-based and Applied Economics,0
Biochemical Engineering Journal,0
Biochip Journal,0
Bioconjugate Chemistry,0
Biocybernetics and Biomedical Engineering,1
BioData Mining,1
Biodemography and Social Biology,0
Bio-Design and Manufacturing,0
Bioelectricity,0
Bioelectronic Medicine,0
Bioengineering and Translational Medicine,0
Bioethics,0
BioethiqueOnline,0
Biofabrication,0
Biography,0
Biography Studies,0
Bioinformatics,1
Bioinformatics Advances,1
Bioinformatics and Biology Insights,1
Bioinspiration and Biomimetics,0
"Bioinspired, Biomimetic and Nanobiomaterials",0
BioLaw Journal,0
Biolinguistics,0
Biological Cybernetics,1
Biological Psychiatry,0
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,0
Biological Psychology,0
Biological Theory,0
Biologically Inspired Cognitive Architectures,1
Biology and Philosophy,0
Biology Direct,0
Biology of Mood and Anxiety Disorders,0
Biology of Sex Differences,0
Biomarkers and Genomic Medicine,0
Biomaterials,0
Biomaterials Advances,0
Biomaterials and Biosystems,0
Biomaterials Research,0
Biomaterials Science,0
Biomaterials Translational,0
Biomath,1
Biomechanics (Switzerland),0
Biomechanics and Modeling in Mechanobiology,0
Biomedical Analysis,0
Biomedical Engineering,1
"Biomedical Engineering - Applications, Basis and Communications",1
Biomedical Engineering Letters,1
BioMedical Engineering Online,1
Biomedical Imaging and Intervention Journal,0
Biomedical Instrumentation and Technology,0
Biomedical Materials (Bristol),0
Biomedical Materials and Devices,0
Bio-Medical Materials and Engineering,0
Biomedical Microdevices,0
Biomedical Reports,0
Biomedical Signal Processing and Control,1
Biomedical Technology,0
BioMedInformatics,1
Biomedizinische Technik,1
Biometeorology,0
Biometric Technology Today,0
Biometrical Journal,0
Biometrical Letters,0
Biometrics,0
Biometrika,0
Biomicrofluidics,0
Biomimetic Intelligence and Robotics,1
Biomimetics,0
Biomolecular Concepts,0
BioNanoMaterials,0
BioNanoScience,0
Biophysical Bulletin,0
Bioprinting,0
BioProducts Business,0
Bio-protocol,0
BioPsychoSocial Medicine,0
Bioresources and Bioprocessing,0
Biosaintifika,0
Bioscene,0
Bioscience Education,0
BioScience Trends,0
BioScope: South Asian Screen Studies,0
Biosecurity and Bioterrorism,0
Biosemiotics,0
Biosensors,0
Biosensors and Bioelectronics,0
Biosensors and Bioelectronics: X,0
BioSocieties,0
Biostatistics,1
Biosurface and Biotribology,0
BioSystems,1
Biosystems and Biorobotics,1
Biosystems Engineering,0
BioTech,0
Biotechnology and Bioprocess Engineering,0
Biotechnology Notes,0
"Biotechnology, Agronomy, Society and Environment",0
Bipolar Disorders,0
BIT Numerical Mathematics,0
Biuletyn Polskiego Towarzystwa Jezykoznawczego,0
Biuletyn Polskiej Misji Historycznej,0
Biuletyn Szadkowski,0
Biuletyn Uniejowski,0
Black Camera,0
Black Music Research Journal,0
Black Scholar,0
Black Theology,0
Blake - An Illustrated Quarterly,0
Blockchain in Healthcare Today,0
Blockchain: Research and Applications,0
Blue Books of Neurology,0
BMC Bioinformatics,1
BMC Global and Public Health,0
BMC Medical Education,0
BMC Medical Ethics,0
BMC Medical Informatics and Decision Making,1
BMC Neuroscience,0
BMC Psychology,0
BMC Systems Biology,1
BME Frontiers,1
BMEMat,0
BMJ Health and Care Informatics,1
BMJ Leader,1
BMJ Neurology Open,0
"BMJ Nutrition, Prevention and Health",0
BMJ Simulation and Technology Enhanced Learning,1
"BMJ Surgery, Interventions, and Health Technologies",1
BMS Bulletin of Sociological Methodology/ Bulletin de Methodologie Sociologique,0
Bocconi and Springer Series,0
Body and Society,0
Body Image,0
"Body, Movement and Dance in Psychotherapy",0
"Body, Space and Technology",0
Bogazici Journal,0
Bogoslovni Vestnik,0
Bohemistyka,0
Bold Visions in Educational Research,0
Boletim da Sociedade Paranaense de Matematica,0
Boletim do Museu Paraense Emilio Goeldi: Ciencias Humanas,0
Boletin Cientifico del Centro de Museos,0
Boletin de Arqueologia PUCP,0
Boletin de Estadistica e Investigacion Operativa,1
Boletin de Estetica,0
Boletin de la Biblioteca de Menendez Pelayo,0
Boletin de la Real Academia Espanola,0
Boletin de la Sociedad Espanola de Ceramica y Vidrio,0
Boletin de la Sociedad Matematica Mexicana,0
Boletin de Linguistica,0
Boletin de Literatura Oral,0
Boletin del Museo Chileno de Arte Precolombino,0
Bolivian Studies Journal,0
Bollettino d'Arte,0
Bollettino dell'Unione Matematica Italiana,0
Bollettino di Archeologia,0
Bollettino Storico - Bibliografico Subalpino,0
Bolyai Society Mathematical Studies,0
Book Collector,0
Book History,0
Bookbird: Journal of International Children's Literature,0
Border Crossings,0
Borderline Personality Disorder and Emotion Dysregulation,0
Bordon,0
Boreas,0
Borsa Istanbul Review,0
Bosniaca,0
"Boston Studies in Philosophy, Religion and Public Life",0
Boston Studies in the Philosophy and History of Science,0
Boston University Law Review,0
Bottom Line,0
Botulinum Journal,0
Boundaries of Religious Freedom: Regulating Religion in Diverse Societies,0
Boundary 2,0
Boundary Value Problems,0
Boyhood Studies,0
BPA Applied Psychology Bulletin,0
Brain and Behavior,0
Brain and Cognition,0
Brain and Development,0
Brain and Language,0
Brain and Neuroscience Advances,0
Brain and Spine,0
Brain Communications,0
Brain Connectivity,0
Brain Disorders,0
Brain Hemorrhages,0
Brain Imaging and Behavior,0
Brain Impairment,0
Brain Informatics,1
Brain Injury,0
Brain Multiphysics,0
Brain Pathology,0
Brain Research,0
Brain Research Bulletin,0
Brain Research Journal,0
Brain Research Reviews,0
Brain Sciences,0
Brain Stimulation,0
Brain Structure and Function,0
Brain Topography,0
Brain Tumor Research and Treatment,0
"Brain, Behavior and Evolution",0
"Brain, Behavior, and Immunity",0
Brain-Computer Interfaces,1
Brain-X,0
Brand,0
Bratislava Law Review,0
Brawijaya Law Journal,0
Brazilian Business Review,0
Brazilian English Language Teaching Journal,0
Brazilian Journal of Biometrics,0
Brazilian Journal of Biosystems Engineering,0
Brazilian Journal of International Law,0
Brazilian Journal of Medical and Biological Research,0
Brazilian Journal of Motor Behavior,0
Brazilian Journal of Operations and Production Management,1
Brazilian Journal of Political Economy,0
Brazilian Journal of Probability and Statistics,1
BRICS Law Journal,0
Bridge,0
Bridge Structures,0
Bridging Tourism Theory and Practice,0
Briefings in Bioinformatics,0
Brill Classics in Islam,0
Brill Handbooks on Contemporary Religion,0
Brill Reference Library of Judaism,0
Brill Research Perspectives in Popular Culture,0
Brill Series in Taiwan Studies,0
Brill Studies in Greek and Roman Epigraphy,0
Brill Studies in Language Contact and Dynamics of Language,0
Brill Studies in Middle Eastern Literatures,0
Brill's Arab and Islamic Laws Series,0
Brill's Asian Law Series,0
Brill's Companions to Classical Reception,0
Brill's Companions to Classical Studies,0
Brill's Companions to European History,0
Brill's Companions to the Byzantine World,0
Brill's Companions to the Christian Tradition,0
Brill's Companions to the Musical Culture of Medieval and Early Modern Europe,0
Brill's Companions to the Slavic World,0
Brill's Handbooks in Linguistics,0
Brill's Humanities in China Library,0
Brill's Indological Library,0
Brill's Inner Asian Library,0
Brill's Japanese Studies Library,0
Brill's Journal of Afroasiatic Languages and Linguistics,0
Brill's Korean Studies Library,0
Brill's Plato Studies Series,0
Brill''s Plutarch Studies,0
Brill's Series in Church History,0
Brill's Series in Jewish Studies,0
Brill's Series in the History of the Environment,0
Brill's Series on Chinese Education,0
Brill's Series on Modern East Asia in a Global Historical Perspective,0
Brill's Series on the Early Middle Ages,0
Brill's Southeast Asian Library,0
Brill's Specials in Modern History,0
Brill's Studies in Catholic Theology,0
Brill's Studies in Historical Linguistics,0
Brill's Studies in Indo-European Languages and Linguistics,0
Brill's Studies in Intellectual History,0
"Brill's Studies in Language, Cognition and Culture",0
Brill's Studies in Maritime History,0
Brill's Studies in South and Southwest Asian Languages,0
Brill's Studies in the Indigenous Languages of the Americas,0
"Brill's Studies on Art, Art History, and Intellectual History",0
Brill's Tibetan Studies Library,0
Britain and the World,0
Britannia,0
Britannia (Society for the Promotion of Roman Studies),0
British Accounting Review,0
British Actuarial Journal,1
British and American Studies,0
British Catholic History,0
British Educational Research Journal,0
British Journal for the History of Mathematics,0
British Journal for the History of Philosophy,0
British Journal for the History of Science,0
British Journal for the Philosophy of Science,0
British Journal of Aesthetics,0
British Journal of American Legal Studies,0
British Journal of Canadian Studies,0
British Journal of Clinical Psychology,1
British Journal of Community Justice,0
British Journal of Developmental Disabilities,0
British Journal of Developmental Psychology,1
British Journal of Educational Psychology,1
British Journal of Educational Studies,0
British Journal of Educational Technology,0
British Journal of Guidance and Counselling,0
British Journal of Health Psychology,1
British Journal of Industrial Relations,0
British Journal of Management,1
British Journal of Mathematical and Statistical Psychology,1
British Journal of Middle Eastern Studies,0
British Journal of Music Education,0
British Journal of Ophthalmology,0
British Journal of Political Science,0
British Journal of Politics and International Relations,0
British Journal of Psychology,1
British Journal of Psychotherapy,0
British Journal of Religious Education,0
British Journal of Social Psychology,1
British Journal of Social Work,0
British Journal of Sociology,0
British Journal of Sociology of Education,0
British Journal of Special Education,0
British Politics,0
British Tax Review,0
Brno Studies in English,0
Brodogradnja,0
Bronte Studies,0
Brookings Papers on Economic Activity,0
BRQ Business Research Quarterly,1
Brukenthal. Acta Musei,0
Brumal,0
Bruno Pini Mathematical Analysis Seminar,0
Brussels Studies,0
BSHM Bulletin,0
BTRA Scan,0
Buddhist Studies Review,0
Buddhist-Christian Studies,0
Budownictwo i Architektura,0
Buffalo Law Review,0
Building and Environment,0
Building and Landscapes,0
Building Engineer,0
Building Research and Information,0
Building Services Engineering Research and Technology,0
Building Simulation,0
Buildings,0
Buildings and Cities,0
Built Environment,0
Built Environment Journal,0
Built Environment Project and Asset Management,0
Built Heritage,0
Buletin Ekonomi Moneter dan Perbankan/Monetary and banking economics bulletin,0
Buletinul Academiei de Stiinte a Republicii Moldova. Matematica,0
Bulgarian Historical Review,0
Bulk Solids Handling,0
Bulletin de la Societe Belge d'Ophtalmologie,0
Bulletin de la Societe de Linguistique de Paris,0
Bulletin de la Societe Mathematique de France,0
Bulletin de la Societe Prehistorique Francaise,0
Bulletin de l'Institut Francais d'Archeologie Orientale du Caire,0
Bulletin de Philosophie Medievale,0
Bulletin des Sciences Mathematiques,0
Bulletin for International Taxation,0
Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie,0
Bulletin of ASOR,0
Bulletin of Atmospheric Science and Technology,0
Bulletin of Chinese Academy of Sciences,0
Bulletin of Computational Applied Mathematics,0
Bulletin of Earthquake Engineering,0
Bulletin of Economic Research,0
Bulletin of Educational Psychology,1
Bulletin of Educational Research,0
Bulletin of Electrical Engineering and Informatics,0
"Bulletin of Geography, Physical Geography Series",0
Bulletin of Geography. Socio-economic Series,0
Bulletin of Hispanic Studies,0
Bulletin of Indonesian Economic Studies,0
Bulletin of Japan Association for Fire Science and Engineering,0
Bulletin of Latin American Research,0
Bulletin of Materials Science,0
Bulletin of Mathematical Analysis and Applications,0
Bulletin of Mathematical Biology,0
Bulletin of Mathematical Sciences,0
"Bulletin of Science, Technology and Society",1
Bulletin of Spanish Studies,0
Bulletin of Spanish Visual Studies,0
Bulletin of Symbolic Logic,0
Bulletin of the American Mathematical Society,0
Bulletin of the American Schools of Oriental Research,0
Bulletin of the American Society for Information Science and Technology,1
Bulletin of the American Society of Papyrologists,0
Bulletin of the Anglo-Israel Archaeological Society,0
Bulletin of the Atomic Scientists,0
Bulletin of the Australian Mathematical Society,0
Bulletin of the Belgian Mathematical Society - Simon Stevin,0
Bulletin of the Brazilian Mathematical Society,0
Bulletin of the Comediantes,0
Bulletin of the Council for Research in Music Education,0
Bulletin of the Detroit Institute of Arts,0
Bulletin of the History of Archaeology,0
Bulletin of the History of Medicine,0
Bulletin of the Illinois Geographical Society,0
Bulletin of the Indo-Pacific Prehistory Association,0
Bulletin of the Institute of Classical Studies,0
Bulletin of the Institute of Combinatorics and its Applications,0
Bulletin of the Iranian Mathematical Society,0
Bulletin of the John Rylands Library,0
Bulletin of the Karaganda University. Mathematics Series,0
Bulletin of the Korean Mathematical Society,0
Bulletin of the Kyushu Institute of Technology - Pure and Applied Mathematics,0
Bulletin of the London Mathematical Society,0
Bulletin of the Malaysian Mathematical Sciences Society,0
Bulletin of the Menninger Clinic,0
Bulletin of the New Zealand Society for Earthquake Engineering,0
Bulletin of the Polish Academy of Sciences. Mathematics,0
Bulletin of the Polish Academy of Sciences: Technical Sciences,0
Bulletin of the School of Oriental and African Studies,0
Bulletin of the Section of Logic,0
"Bulletin of the South Ural State University, Series: Mathematical Modelling, Programming and Computer Software",1
Bulletin of the Taras Shevchenko National University of Kyiv. Physics and Mathematics,0
Bulletin of the Technical Committee on Learning Technology,1
"Bulletin of the Transilvania University of Brasov, Series III: Mathematics and Computer Science",1
"Bulletin of the Transilvania University of Brasov, Series III: Mathematics, Informatics, Physics",1
Bulletin of TICMI,0
Bulletin Suisse de Linguistique Appliquee,0
"Bulletin, Classe des Sciences Mathematiques et Naturelles, Sciences Mathematiques",0
Bullettino della Commissione Archeologica Comunale di Roma,0
Burlington Magazine,0
Burns and Trauma,0
Business and Economic Horizons,0
Business and Human Rights Journal,0
Business and Information Systems Engineering,1
Business and Politics,0
Business and Professional Communication Quarterly,0
Business and Professional Ethics Journal,0
Business and Society,0
Business and Society Review,0
Business Communication Quarterly,0
Business Economics,0
Business Ethics,0
Business Ethics and Leadership,0
Business Ethics Quarterly,0
"Business Ethics, the Environment and Responsibility",0
Business History,0
Business History Review,0
Business Horizons,0
Business Informatics,1
Business Information Review,0
Business Lawyer,0
Business Management,0
Business Management and Education,0
Business Performance Review,0
Business Perspectives and Research,0
Business Process Management Journal,1
Business Research,1
Business Strategy and Development,0
Business Strategy and the Environment,0
Business Strategy Review,0
Business Strategy Series,0
Business Systems Research,1
"Business, Management and Economics Engineering",0
"Business, Peace and Sustainable Development",0
Business: Theory and Practice,0
Bustan,0
BWK- Energie-Fachmagazin,0
Byron Journal,0
Byu Studies,0
BYU Studies Quarterly,0
Byzantina Australiensia,0
Byzantina Symmeikta,0
Byzantine and Modern Greek Studies,0
Byzantinische Zeitschrift,0
Byzantinoslavica,0
Byzantion: Revue Internationale des Etudes Byzantines,0
Ca' Foscari Japanese Studies,0
Ca' Foscari Japanese Studies: Arts and Literature,0
Ca' Foscari Japanese Studies: History and Society,0
Ca' Foscari Japanese Studies: Linguistics and Language Education,0
Ca' Foscari Japanese Studies: Religion and Thought,0
CAAI Transactions on Intelligence Technology,1
CAAI Transactions on Intelligent Systems,1
CAD Computer Aided Design,0
Cadernos de Dereito Actual,0
Cadernos de Estudos Africanos,0
Cadernos de Sociomuseologia,0
Cadernos do Arquivo Municipal,0
Cadmo,0
CADMO: Journal for Ancient History,0
Cahiers Chronos,0
Cahiers Critiques de Therapie Familiale et de Pratiques de Reseaux,0
Cahiers de Civilisation Medievale,0
Cahiers de Linguistique,0
Cahiers de Linguistique Asie Orientale,0
Cahiers de Psychologie Clinique,0
Cahiers de Recherches Medievales,0
Cahiers d'Economie Politique,0
Cahiers d'Etudes des Cultures Iberiques et Latino-americaines - CECIL,0
Cahiers du Centre G. Glotz,0
Cahiers du Monde Russe,0
Cahiers Elisabethains,0
Cahiers Internationaux de Sociologie,0
Cakrawala Pendidikan,0
Calcolo,0
Calculus of Variations and Partial Differential Equations,0
Calcutta Statistical Association Bulletin,0
CALICO Journal,0
California Archaeology,0
California History,0
California Law Review,0
California Management Review,0
Calitatea Vietii,0
Callaloo,0
CALL-EJ,0
Calphad: Computer Coupling of Phase Diagrams and Thermochemistry,0
Calvin Theological Journal,0
Cambrian Medieval Celtic Studies,0
Cambridge Archaeological Journal,0
Cambridge Classical Journal,0
Cambridge Imperial and Post-Colonial Studies,0
Cambridge International Law Journal,0
Cambridge Journal of Anthropology,0
Cambridge Journal of Economics,1
Cambridge Journal of Education,1
Cambridge Journal of Mathematics,0
Cambridge Journal of Postcolonial Literary Inquiry,0
"Cambridge Journal of Regions, Economy and Society",1
Cambridge Law Journal,0
Cambridge Opera Journal,0
Cambridge Prisms: Coastal Futures,0
Cambridge Quarterly,0
Cambridge Quarterly of Healthcare Ethics,1
Cambridge Review of International Affairs,0
Cambridge Yearbook of European Legal Studies,0
Camera Obscura,0
Camera Praehistorica,0
Campbell Systematic Reviews,0
Campus-Wide Information Systems,1
Canada and International Affairs,0
Canadian Aeronautics and Space Journal,0
Canadian Applied Mathematics Quarterly,0
Canadian Biosystems Engineering / Le Genie des biosystems au Canada,0
Canadian Ethnic Studies,0
Canadian Foreign Policy Journal,0
Canadian Geographies/Geographies Canadiennes,0
Canadian Geotechnical Journal,0
Canadian Historical Review,0
Canadian Journal of Administrative Sciences,1
Canadian Journal of African Studies,0
Canadian Journal of Agricultural Economics,0
Canadian Journal of Applied Linguistics,0
Canadian Journal of Behavioural Science,1
Canadian Journal of Bioethics,1
Canadian Journal of Communication,1
Canadian Journal of Criminology and Criminal Justice,0
Canadian Journal of Development Studies,0
Canadian Journal of Economics,1
Canadian Journal of Education,1
Canadian Journal of Educational Administration and Policy,1
Canadian Journal of Electrical and Computer Engineering,0
Canadian Journal of European and Russian Studies,0
Canadian Journal of Experimental Psychology,1
Canadian Journal of Film Studies,0
Canadian Journal of Health History,0
Canadian Journal of Higher Education,1
Canadian Journal of History,0
Canadian Journal of Human Sexuality,0
Canadian Journal of Information and Library Science,1
Canadian Journal of Latin American and Caribbean Studies,0
Canadian Journal of Law and Jurisprudence,0
Canadian Journal of Law and Society,0
Canadian Journal of Learning and Technology,1
Canadian Journal of Linguistics,0
Canadian Journal of Mathematics,0
Canadian Journal of Native Studies,0
Canadian Journal of Neurological Sciences,0
Canadian Journal of Nonprofit and Social Economy Research,1
Canadian Journal of Philosophy,0
Canadian Journal of Political Science,0
Canadian Journal of Program Evaluation,1
Canadian Journal of Regional Science,0
Canadian Journal of School Psychology,1
"Canadian Journal of Science, Mathematics and Technology Education",1
Canadian Journal of Sociology,1
Canadian Journal of Speech-Language Pathology and Audiology,0
Canadian Journal of Statistics,0
Canadian Journal of Urban Research,1
Canadian Journal of Women and the Law,0
Canadian Journal on Aging,0
Canadian Literature,0
Canadian Mathematical Bulletin,0
Canadian Metallurgical Quarterly,0
Canadian Military History,0
Canadian Mining Journal,0
Canadian Modern Language Review,0
Canadian Packaging,0
Canadian Poetry,0
Canadian Printer,0
Canadian Psychology,1
Canadian Public Administration,1
Canadian Public Policy,1
Canadian Review of American Studies,0
Canadian Review of Comparative Literature,0
Canadian Review of Sociology,1
Canadian Slavonic Papers,0
Canadian Studies in Population,0
Canadian Tax Journal,0
Canadian Theatre Review,0
Canadian Woman Studies,0
Canadian Yearbook of International Law. Annuaire Canadien de Droit International,0
Canadian-American Slavic Studies,0
Cancer Nanotechnology,0
Canterbury Law Review,0
Capital and Class,0
Capital Markets Law Journal,0
Capitale Culturale,0
Capitalism,0
Capitalism and Society,0
"Capitalism, Nature, Socialism",0
Caplletra,0
Carbon and Climate Law Review,0
Carbon Neutrality,0
Carbon Research,0
Cardiovascular Digital Health Journal,0
Cardiovascular Endocrinology,0
Cardiovascular Engineering and Technology,0
Cardiovascular Psychiatry and Neurology,0
Cardiovascular Therapy and Prevention (Russian Federation),0
Career Development and Transition for Exceptional Individuals,0
Career Development for Exceptional Individuals,0
Career Development International,1
Career Development Quarterly,1
Career Development Series,0
Caribbean Geography,0
Caribbean Quarterly,0
Caribbean Series,0
Caritas et Veritas,0
Carnets,0
Carpathian Journal of Mathematics,0
Carpathian Mathematical Publications,0
Carrefours de l'Education,0
Carreteras,0
Cartilage,0
CASE Journal,0
Case Studies in Chemical and Environmental Engineering,0
Case Studies in Engineering Failure Analysis,0
Case Studies in Fire Safety,0
Case Studies in Mechanical Systems and Signal Processing,0
Case Studies in Nondestructive Testing and Evaluation,0
Case Studies in Structural Engineering,0
Case Studies in the Environment,0
Case Studies in Thermal Engineering,0
Case Studies on Transport Policy,0
Casopis Matice Moravske,0
Casopis pro Pravni Vedu a Praxi,0
Caspian Journal of Neurological Sciences,0
Catalan Historical Review,0
Catalan Journal of Communication and Cultural Studies,0
Catalan Journal of Linguistics,0
Catalan Review,0
Cataloging and Classification Quarterly,0
"Catalysis, Structure and Reactivity",0
Catedral Tomada,0
Categories and General Algebraic Structures with Applications,0
Catholic Biblical Quarterly,0
"Catholic Christendom, 1300-1700",0
Catholic Historical Review,0
Catholic University Law Review,0
Cato Journal,0
Caucasus Survey,0
CBE Life Sciences Education,0
CCF Transactions on High Performance Computing,0
CCF Transactions on Pervasive Computing and Interaction,0
CEA Critic,0
CEAS Aeronautical Journal,0
CEAS Space Journal,0
CEBE Transactions,0
Celebrity Studies,0
Celestial Mechanics and Dynamical Astronomy,0
Cell Adhesion and Migration,0
Cell and Organ Transplantology,0
Cell and Tissue Banking,0
Cell Death and Disease,0
Cell Death Discovery,0
Cell Journal,0
Cell Reports Methods,0
Cell Reports Physical Science,0
Cell Transplantation,0
Cellular and Molecular Bioengineering,0
Cellular and Molecular Life Sciences,0
Cellular and Molecular Neurobiology,0
Cels,0
Cement and Concrete Composites,0
Cement and Concrete Research,0
Cement International,0
"Cement, Wapno, Beton",0
Centaurus,0
Center for Educational Policy Studies Journal,0
Center for Oceans Law and Policy,0
Central and Eastern Europe,0
Central and Eastern European Migration Review,0
Central Asia and the Caucasus,0
Central Asian Affairs,0
Central Asian Survey,0
Central Asiatic Journal,0
Central Bank Review,0
Central Eurasia Studies,0
Central Europe,0
Central European Business Review,0
Central European Economic Journal,0
Central European History,0
Central European Journal of Biology,0
Central European Journal of Communication,0
Central European Journal of Economic Modelling and Econometrics,0
Central European Journal of Engineering,0
Central European Journal of International and Security Studies,0
Central European Journal of Mathematics,0
Central European Journal of Operations Research,0
Central European Journal of Public Policy,0
Central European Journal of Sport Sciences and Medicine,0
Central European Management Journal,0
Central European Public Administration Review,0
Central Nervous System Agents in Medicinal Chemistry,0
Centre for Applied Linguistics Research Journal,0
Centro Journal,0
CEPAL Review,0
Ceramics - Art and Perception,0
Ceramics - Technical,0
Cercetari Arheologice,0
Cerebellum,0
Cerebral Circulation - Cognition and Behavior,0
Cerebral Cortex,0
Cerebrospinal Fluid Research,0
Cerebrovascular Diseases,0
Cerebrovascular Diseases Extra,0
Cerevisia,0
Ceridap,0
CERN IdeaSquare Journal of Experimental Innovation,0
CES Transactions on Electrical Machines and Systems,0
CESifo DICE Report,0
CESifo Economic Studies,0
CESifo Forum,0
CEU Political Science Journal,0
CFD Letters,0
Challenge Journal of Concrete Research Letters,0
Challenges and Advances in Computational Chemistry and Physics,0
Challenges in Physics Education,0
Challenges in Sustainability,0
Challenges to Democracy in the 21st Century,0
Champ Psychosomatique,0
Change Management,1
Change Over Time,0
Changing English,0
Changing Societies and Personalities,0
Chaos,0
Chaos Theory and Applications,0
"Chaos, Solitons and Fractals",0
"Chaos, Solitons and Fractals: X",0
Chasqui,0
Chateau Gaillard,0
Chaucer Review,0
Chelovek,0
Chem and Bio Engineering,0
ChemBioEng Reviews,0
ChemEngineering,0
Chemical and Biomedical Imaging,0
Chemical Engineering and Processing - Process Intensification,0
Chemical Engineering and Technology,0
Chemical Engineering Education,0
Chemical Engineering Journal,0
Chemical Engineering Journal Advances,0
Chemical Engineering Progress,0
Chemical Engineering Science,0
Chemical Engineering Science: X,0
Chemical Fibers International,0
Chemical Papers,0
Chemical Product and Process Modeling,0
Chemical Senses,0
Chemistry,0
Chemistry Education Research and Practice,0
Chemistry Teacher International,0
"Chemistry, Didactics, Ecology, Metrology",0
Chemometrics and Intelligent Laboratory Systems,1
Chemosensory Perception,0
Chiasma,0
Chicago Review,0
Child Abuse and Neglect,0
Child Abuse Review,0
Child and Adolescent Social Work Journal,0
Child and Family Behavior Therapy,0
Child and Family Social Work,0
Child and Youth Care Forum,0
Child and Youth Services,0
Child Care in Practice,0
Child Development,0
Child Development Perspectives,0
Child Development Research,0
Child Indicators Research,0
Child Language Teaching and Therapy,0
Child Maltreatment,0
Child Maltreatment: Contemporary Issues in Research and Policy,0
Child Neuropsychology,0
Child Psychiatry and Human Development,0
"Child: Care, Health and Development",0
Childhood,0
Childhood Education,0
Childhood in the Past,0
Children and Schools,0
Children and Society,0
Children and Youth Services Review,0
Children Australia,0
Children: Global Posthumanist Perspectives and Materialist Theories,0
Children's Geographies,0
